,_id,ViewData.BreakID,ViewData.Status,ViewData.SPM ID,ViewData.Currency,ViewData.Custodian Account,ViewData.ISIN,ViewData.Transaction Type,ViewData.Trade Date,ViewData.CUSIP,ViewData.Description,ViewData.SEDOL,ViewData.Ticker,ViewData.Underlying Cusip,ViewData.Underlying ISIN,ViewData.Underlying Sedol,ViewData.Settle Date,ViewData.Fund,ViewData.Cancel Amount,ViewData.Accounting Net Amount,ViewData.B-P Net Amount,ViewData.Net Amount Difference,ViewData.Net Amount Difference Absolute,ViewData.Custodian,ViewData.Asset Type Category,ViewData.Cancel Flag,ViewData.Investment Type,ViewData.Prime Broker,ViewData.Quantity,ViewData.Price,ViewData.Commission,ViewData.Transaction Category,ViewData.ExpiryDate,ViewData.Base Net Amount,ViewData.Strike Price,ViewData.OTE Ticker,ViewData.Age,ViewData.Age WK,ViewData.Mapped Custodian Account,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds
4704,5e99443f1554581fb0fe2967,1092870598,OB,,GBP,MS_PB_PO,,Transfer,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,PO,12.29,12.29,,-12.29,12.29,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,12.29,1.0,,,,12.29,0.0,GBP=,86,62,MS_PB_PO,1366_125715430_Advent Geneva,
4705,5e99443f1554581fb0fe2972,1092870452,OB,,GBP,MS_PB_PO,,EQUITY SWAP,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,PO,-35.2,-35.2,,35.2,35.2,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,35.2,0.0,GBP=,86,62,MS_PB_PO,1367_125715430_Advent Geneva,
4706,5e99443f1554581fb0fe29a2,1092870458,OB,,GBP,MS_PB_MA,,EQUITY SWAP,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,MA,-39.45,-39.45,,39.45,39.45,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,39.45,0.0,GBP=,86,62,MS_PB_MA,281_125715430_Advent Geneva,
4707,5e99443f1554581fb0fe29a8,1092870663,OB,,GBP,MS_PB_MA,,Transfer,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,MA,24.37,24.37,,-24.37,24.37,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,24.37,1.0,,,,24.37,0.0,GBP=,86,62,MS_PB_MA,280_125715430_Advent Geneva,
4708,5e99443f1554581fb0fe29ae,1092870641,OB,,GBP,MS_PB_MA,,Transfer,01-16-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-16-2020,MA,24.37,24.37,,-24.37,24.37,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,24.37,1.0,,,,24.37,0.0,GBP=,86,62,MS_PB_MA,271_125715430_Advent Geneva,
4709,5e99443f1554581fb0fe29b4,1092870588,OB,,GBP,MS_PB_MA,,EQUITY SWAP,01-16-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-16-2020,MA,-15.87,-15.87,,15.87,15.87,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,15.87,0.0,GBP=,86,62,MS_PB_MA,273_125715430_Advent Geneva,
4710,5e99443f1554581fb0fe29bc,1092870554,OB,,EUR,MS_PB_MA,,Transfer,01-01-2020,,"EURO MEMBER COUNT, EURO",,,,,,01-01-2020,MA,43.33,43.33,,-43.33,43.33,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,43.33,1.0,,,,43.33,0.0,EUR=,86,62,MS_PB_MA,268_125715430_Advent Geneva,
4711,5e99443f1554581fb0fe29c5,1092870608,OB,,EUR,MS_PB_MA,,EQUITY SWAP,01-01-2020,,"EURO MEMBER COUNT, EURO",,,,,,01-01-2020,MA,-0.13,-0.13,,0.13,0.13,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,0.13,0.0,EUR=,86,62,MS_PB_MA,269_125715430_Advent Geneva,
4712,5e99443f1554581fb0fe29c6,1092870586,OB,,EUR,MS_PB_R1,,EQUITY SWAP,01-01-2020,,"EURO MEMBER COUNT, EURO",,,,,,01-01-2020,R1,-0.07,-0.07,,0.07,0.07,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,0.07,0.0,EUR=,86,62,MS_PB_R1,226_125715430_Advent Geneva,
4713,5e99443f1554581fb0fe29cb,1092870613,OB,,EUR,MS_PB_R1,,Transfer,01-01-2020,,"EURO MEMBER COUNT, EURO",,,,,,01-01-2020,R1,22.88,22.88,,-22.88,22.88,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,22.88,1.0,,,,22.88,0.0,EUR=,86,62,MS_PB_R1,225_125715430_Advent Geneva,
